"grande_area","modalidade","linha_de_fomento","total"
"Ciências Biológicas","APQ - Auxílio a Pesquisa","APOIO A PROJETOS DE PESQUISA","618784501948"
"Ciências Exatas e da Terra","APQ - Auxílio a Pesquisa","APOIO A PROJETOS DE PESQUISA","307042010123"
"Ciências da Saúde","APQ - Auxílio a Pesquisa","APOIO A PROJETOS DE PESQUISA","281102993352"
"Engenharias","APQ - Auxílio a Pesquisa","APOIO A PROJETOS DE PESQUISA","221429127046"
"Ciências Agrárias","APQ - Auxílio a Pesquisa","APOIO A PROJETOS DE PESQUISA","184304189930"
"Ciências Humanas","PDE - Pós-Doutorado no Exterior","APOIO A COOPERAÇÃO INTERNACIONAL","129511413124"
"Ciências Biológicas","PDE - Pós-Doutorado no Exterior","APOIO A COOPERAÇÃO INTERNACIONAL","117067709090"
"Ciências Exatas e da Terra","PDE - Pós-Doutorado no Exterior","APOIO A COOPERAÇÃO INTERNACIONAL","114368333505"
"Engenharias","SWG - Graduação Sanduíche no Exterior","Bolsas de Graduação","109518930006"
"Ciências Sociais Aplicadas","PDE - Pós-Doutorado no Exterior","APOIO A COOPERAÇÃO INTERNACIONAL","95682303817"
"Ciências da Saúde","PDE - Pós-Doutorado no Exterior","APOIO A COOPERAÇÃO INTERNACIONAL","84437272488"
"Engenharias","PDE - Pós-Doutorado no Exterior","APOIO A COOPERAÇÃO INTERNACIONAL","78198234451"
"Ciências Agrárias","PDE - Pós-Doutorado no Exterior","APOIO A COOPERAÇÃO INTERNACIONAL","73162379878"
"Ciências Humanas","APQ - Auxílio a Pesquisa","APOIO A PROJETOS DE PESQUISA","73072763327"
"Outra","APQ - Auxílio a Pesquisa","APOIO A PROJETOS DE PESQUISA","57334968692"
"Ciências Exatas e da Terra","SWE - Doutorado Sanduíche no Exterior","APOIO A COOPERAÇÃO INTERNACIONAL","56142925418"
"Ciências Biológicas","SWE - Doutorado Sanduíche no Exterior","APOIO A COOPERAÇÃO INTERNACIONAL","45242921417"
"Lingüística, Letras e Artes","PDE - Pós-Doutorado no Exterior","APOIO A COOPERAÇÃO INTERNACIONAL","42851825818"
"Engenharias","SWE - Doutorado Sanduíche no Exterior","APOIO A COOPERAÇÃO INTERNACIONAL","42048070027"
"Ciências Biológicas","APQ - Auxílio a Pesquisa","Apoio a Projetos de Pesquisas","37116070277"
"Ciências Biológicas","BCB -","APOIO A PROJETOS DE PESQUISA","35792964900"
"Ciências Exatas e da Terra","DES - Desenvolvimento Tecnológico e Inovação Ext Sênior","APOIO A COOPERAÇÃO INTERNACIONAL","32889076928"
"Ciências da Saúde","SWE - Doutorado Sanduíche no Exterior","APOIO A COOPERAÇÃO INTERNACIONAL","32432148913"
"Ciências da Saúde","APQ - Auxílio a Pesquisa","Apoio a Projetos de Pesquisas","31700525509"
"Ciências da Saúde","SWG - Graduação Sanduíche no Exterior","Bolsas de Graduação","30506912160"
"Ciências Exatas e da Terra","GD - Doutorado","APOIO A PROJETOS DE PESQUISA","30065871830"
"Ciências Sociais Aplicadas","APQ - Auxílio a Pesquisa","APOIO A PROJETOS DE PESQUISA","30014850408"
"Ciências Humanas","DES - Desenvolvimento Tecnológico e Inovação Ext Sênior","APOIO A COOPERAÇÃO INTERNACIONAL","28738409200"
"Ciências Exatas e da Terra","SWG - Graduação Sanduíche no Exterior","Bolsas de Graduação","27898965791"
"Ciências Agrárias","SWE - Doutorado Sanduíche no Exterior","APOIO A COOPERAÇÃO INTERNACIONAL","27574571745"
"Ciências Biológicas","DES - Desenvolvimento Tecnológico e Inovação Ext Sênior","APOIO A COOPERAÇÃO INTERNACIONAL","27047978481"
"Ciências Exatas e da Terra","APQ - Auxílio a Pesquisa","Apoio a Projetos de Pesquisas","25855606312"
"Ciências Exatas e da Terra","BCB -","APOIO A PROJETOS DE PESQUISA","25713188500"
"Ciências Sociais Aplicadas","SWG - Graduação Sanduíche no Exterior","Bolsas de Graduação","25115222133"
"Engenharias","APQ - Auxílio a Pesquisa","Apoio a Projetos de Pesquisas","23452842446"
"Ciências Agrárias","APQ - Auxílio a Pesquisa","Apoio a Projetos de Pesquisas","23146163270"
